Date,Location,Item,OH Quantity,OH Amount,On Order Quantity,On Order Amount,In Transit Quantity,In Transit Amount,NSI Quantity,NSI Amount
2020-02-13,FREMONT,Chicken XXXXX-O,60,299.4,0,0.0,0,0.0,0,0
2020-03-04,LAKEWOOD,Chicken XXXXX-O,6,29.94,225,1122.75,90,449.1,0,0
2020-03-05,RICHMOND CA,Chicken XXXXX-O,-3,-14.97,0,0.0,0,0.0,0,0
2020-04-14,HAYWARD,Chicken XXXXX-O,1,4.99,0,0.0,184,918.16,0,0
2020-04-15,HAYWARD,Chicken XXXXX-O,118,588.82,0,0.0,0,0.0,0,0
2020-03-05,LAKEWOOD,Chicken XXXXX-O,41,204.59,45,224.55,0,0.0,0,0
2020-03-06,RICHMOND CA,Chicken XXXXX-O,-3,-14.97,45,224.55,0,0.0,0,0
2020-02-14,FREMONT,Chicken XXXXX-O,45,224.55,90,449.1,0,0.0,0,0
2020-02-15,FREMONT,Chicken XXXXX-O,45,224.55,0,0.0,86,429.14,0,0
2020-04-16,HAYWARD,Chicken XXXXX-O,1,4.99,0,0.0,0,0.0,0,0
2020-04-17,HAYWARD,Chicken XXXXX-O,1,4.99,90,449.1,0,0.0,0,0
2020-03-06,LAKEWOOD,Chicken XXXXX-O,20,99.8,90,449.1,45,224.55,0,0
2020-03-07,RICHMOND CA,Chicken XXXXX-O,-3,-14.97,0,0.0,47,234.53,0,0
2020-04-18,HAYWARD,Chicken XXXXX-O,1,4.99,0,0.0,84,419.16,0,0
2020-03-07,LAKEWOOD,Chicken XXXXX-O,26,129.74,90,449.1,0,0.0,0,0
2020-04-19,HAYWARD,Chicken XXXXX-O,53,264.47,0,0.0,0,0.0,0,0
2020-03-08,RICHMOND CA,Chicken XXXXX-O,-3,-14.97,0,0.0,0,0.0,0,0
2020-03-08,LAKEWOOD,Chicken XXXXX-O,7,34.93,90,449.1,0,0.0,0,0
